id,first_name,second_name,web_name,team,team_name,position,price,total_points,minutes,goals_scored,assists,clean_sheets,bonus,bps,form,points_per_game,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,status,chance_of_playing_next_round,code
1,"Fábio","Ferreira Vieira","Fábio Vieira",1,"Arsenal","Midfielder","5.4",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,438098
2,"Gabriel","Fernando de Jesus","G.Jesus",1,"Arsenal","Forward","6.5",42,600,3,2,2,6,152,"0.0","2.5","1.1","52.6","154.4","119.5","255.0","3.05","0.52","3.57","5.82",4,0,0,0,0,"i",0,205651
3,"Gabriel","dos Santos Magalhães","Gabriel",1,"Arsenal","Defender","6.4",116,2348,3,2,10,9,456,"4.7","4.3","30.6","108.0","583.0","208.6","287.0","2.70","1.21","3.91","23.09",4,0,0,0,0,"a",100,226597
4,"Kai","Havertz","Havertz",1,"Arsenal","Forward","7.7",96,1839,9,3,7,14,340,"0.0","4.6","5.9","142.6","467.2","257.0","701.0","9.39","1.63","11.02","19.00",4,0,0,0,0,"i",0,219847
5,"Karl","Hein","Hein",1,"Arsenal","Goalkeeper","4.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,463748
6,"Jurriën","Timber","J.Timber",1,"Arsenal","Defender","5.6",101,2199,1,2,10,8,382,"6.7","3.9","5.0","84.7","351.2","270.3","227.0","0.75","1.19","1.94","18.98",7,0,0,0,0,"a",100,445122
7,"Jorge Luiz","Frello Filho","Jorginho",1,"Arsenal","Midfielder","4.7",16,540,0,0,2,0,88,"1.0","1.3","0.2","11.3","37.4","69.8","5.0","0.04","0.51","0.55","4.50",4,0,0,0,0,"a",100,85955
8,"Jakub","Kiwior","Kiwior",1,"Arsenal","Defender","4.8",13,323,0,0,1,0,39,"0.0","1.6","0.2","6.3","49.2","13.7","0.0","0.00","0.03","0.03","4.45",0,0,0,0,0,"a",,440854
9,"Gabriel","Martinelli Silva","Martinelli",1,"Arsenal","Midfielder","6.5",93,1562,6,3,8,6,290,"1.3","3.9","2.0","142.5","402.8","389.9","632.0","4.49","3.12","7.61","16.26",1,0,0,0,0,"a",100,444145
12,"Ethan","Nwaneri","Nwaneri",1,"Arsenal","Midfielder","4.6",46,595,3,1,2,4,174,"1.7","2.4","4.2","52.0","197.4","160.0","163.0","0.82","1.20","2.02","3.95",1,0,0,0,0,"a",100,499175
13,"Martin","Ødegaard","Ødegaard",1,"Arsenal","Midfielder","8.2",76,1724,2,4,9,7,357,"3.7","3.6","5.2","141.5","358.8","693.5","360.0","3.76","5.19","8.95","14.06",3,0,0,0,0,"a",100,184029
15,"David","Raya Martin","Raya",1,"Arsenal","Goalkeeper","5.5",117,2610,0,0,11,9,446,"5.0","4.0","26.3","61.7","615.4","0.5","0.0","0.00","0.01","0.01","24.77",2,0,71,0,0,"a",100,154561
16,"Declan","Rice","Rice",1,"Arsenal","Midfielder","6.2",89,2154,2,5,9,11,472,"5.3","3.3","2.9","153.9","521.6","761.6","260.0","1.99","5.01","7.00","19.67",3,1,0,0,0,"a",100,204480
17,"Bukayo","Saka","Saka",1,"Arsenal","Midfielder","10.2",107,1268,5,11,6,16,435,"0.0","6.7","8.5","174.9","516.2","630.0","604.0","4.17","5.60","9.77","10.52",3,0,0,0,0,"d",50,223340
18,"William","Saliba","Saliba",1,"Arsenal","Defender","6.2",114,2364,2,0,11,14,466,"6.3","4.2","22.9","72.5","527.2","94.5","101.0","2.07","0.88","2.95","21.09",2,1,0,0,0,"a",100,462424
20,"Thomas","Partey","Thomas",1,"Arsenal","Midfielder","4.9",85,2185,3,3,7,6,456,"1.7","3.0","0.8","94.9","487.4","316.1","142.0","1.65","2.11","3.76","21.95",4,0,0,0,0,"a",100,167199
21,"Kieran","Tierney","Tierney",1,"Arsenal","Defender","4.3",6,77,0,0,0,0,23,"1.0","1.0","0.0","6.5","15.8","37.7","11.0","0.21","0.28","0.49","1.21",0,0,0,0,0,"a",100,192895
22,"Tomiyasu","Takehiro","Tomiyasu",1,"Arsenal","Defender","4.8",1,6,0,0,0,0,2,"0.0","1.0","0.0","1.0","0.4","0.3","9.0","0.18","0.00","0.18","0.04",0,0,0,0,0,"i",0,223723
23,"Leandro","Trossard","Trossard",1,"Arsenal","Midfielder","6.8",100,1899,4,6,9,10,382,"2.3","3.4","3.1","144.9","405.2","503.3","544.0","4.66","3.10","7.76","16.00",2,1,0,0,0,"a",100,116216
24,"Benjamin","White","White",1,"Arsenal","Defender","6.1",29,703,0,1,3,0,117,"0.3","2.6","2.1","22.5","133.4","57.3","35.0","0.19","0.33","0.52","9.97",2,0,0,0,0,"a",100,198869
25,"Oleksandr","Zinchenko","Zinchenko",1,"Arsenal","Defender","4.8",19,292,0,0,2,0,72,"0.3","1.9","0.9","9.7","25.2","33.3","39.0","0.16","0.12","0.28","2.07",1,0,0,0,0,"a",100,206325
73,"Norberto","Murara Neto","Neto",1,"Arsenal","Goalkeeper","4.1",7,180,0,0,0,0,30,"0.0","3.5","0.7","7.8","77.8","0.0","0.0","0.00","0.00","0.00","2.91",0,0,11,0,0,"a",100,69752
186,"Raheem","Sterling","Sterling",1,"Arsenal","Midfielder","6.7",17,303,0,1,1,0,37,"0.3","1.4","0.8","21.8","39.8","81.2","99.0","1.04","0.37","1.41","2.22",1,0,0,0,0,"a",100,103955
578,"Riccardo","Calafiori","Calafiori",1,"Arsenal","Defender","5.8",37,921,2,1,1,1,133,"0.3","2.2","1.3","53.9","249.6","116.2","174.0","0.86","0.68","1.54","9.51",4,0,0,0,0,"d",75,466075
